Origin,Destination,Distance (km),Travel Time (hours),Bus Number,Departure Time,Intermediate Stops
London,Manchester,216,2.0,PSP557,01:44,"Middlesbrough, Derry, Cardiff, Aberdeen"
London,Birmingham,303,1.2,HIN121,03:48,"Portsmouth, Stoke-on-Trent"
London,Liverpool,279,3.3,CGO214,00:28,
London,Leeds,407,3.9,ACW375,03:18,
London,Sheffield,470,2.7,LXL444,08:14,
London,Bristol,135,4.4,HCV798,06:14,Derry
London,Glasgow,233,5.0,KOP332,13:00,"Reading, Birmingham, Wolverhampton, Dundee, Luton"
London,Edinburgh,474,1.3,VBY828,02:06,"Aberdeen, Glasgow, Bournemouth, Edinburgh, Stoke-on-Trent"
London,Cardiff,216,4.8,JYI670,12:00,Brighton
London,Belfast,332,1.3,HBA148,00:44,"Slough, Edinburgh"
London,Newcastle,487,3.3,CXG715,12:57,"Birmingham, Cardiff, Aberdeen, Leeds, Exeter"
London,Southampton,172,3.1,OMH115,06:47,Bedford
London,Portsmouth,253,0.5,NDW365,14:26,"Derby, London, Bournemouth"
London,Nottingham,117,3.3,EAB328,18:33,"Woking, Norwich, Newcastle"
London,Brighton,186,2.9,LGN598,16:26,"Portsmouth, Slough, Dundee"
London,Leicester,311,2.7,ZMK977,19:26,
London,Oxford,245,3.2,EUM235,20:04,Newport
London,Cambridge,284,4.9,HSB230,10:35,
London,York,158,4.3,QOK218,20:32,
London,Aberdeen,292,2.6,PIZ522,20:14,Nottingham
London,Dundee,192,1.8,JUX432,17:11,
London,Inverness,54,2.9,ERH114,15:37,"Portsmouth, Bedford, Coventry, Luton"
London,Exeter,454,3.4,LML310,15:01,Blackpool
London,Plymouth,427,4.5,GHK866,17:38,Peterborough
London,Swansea,428,3.9,AXZ340,10:11,
London,Newport,352,1.3,GXY416,17:23,
London,Coventry,409,0.7,IOP422,05:46,"Manchester, Exeter, Leicester, Stoke-on-Trent, Leeds"
London,Stoke-on-Trent,109,3.5,DJS553,01:32,
London,Wolverhampton,238,0.9,SQB231,18:50,
London,Derby,243,2.0,YBM837,14:29,"Woking, Portsmouth, Inverness, Peterborough"
London,Norwich,353,3.9,YZE409,01:14,"Southampton, Exeter, Sheffield"
London,Blackpool,194,3.7,XAP116,17:30,"Plymouth, Leicester, Liverpool, Slough"
London,Middlesbrough,397,2.5,DVU513,19:06,"Aberdeen, Huddersfield, Brighton, Glasgow"
London,Bournemouth,407,6.0,VYG857,23:47,Newcastle
London,Luton,436,3.8,WEU154,08:13,"Derry, Portsmouth, Luton, Bedford, Wolverhampton"
London,Reading,291,4.6,LJV895,21:21,
London,Warrington,268,0.6,OSX203,21:46,Warrington
London,Peterborough,164,4.3,EJD655,03:57,
London,Huddersfield,373,0.8,XZW342,03:23,"Luton, Derby, London, Manchester"
London,Slough,382,0.5,IFI106,23:50,"Derby, Brighton, Plymouth, Newcastle, Rotherham"
London,Basildon,161,3.0,EEJ638,09:09,"Bedford, Nottingham, Dundee"
London,Chelmsford,438,4.3,RPO336,08:25,"Norwich, Chelmsford, Aberdeen, Blackpool"
London,Colchester,123,1.4,WLL699,23:54,"Slough, Bournemouth, Basildon, Dundee"
London,Derry,77,3.7,NFJ363,11:55,"Dundee, Bristol, Inverness, Bedford, Swansea"
London,Woking,87,5.3,DYM382,18:00,"York, Newport, Plymouth, Slough, Coventry"
London,Rotherham,366,5.8,HTJ283,22:57,"Leeds, Birmingham, Norwich, London"
London,Bedford,71,3.8,QML705,10:29,Chelmsford
Manchester,London,241,2.7,YFI860,20:05,Nottingham
Manchester,Birmingham,110,0.8,GQJ384,00:00,Swansea
Manchester,Liverpool,322,3.9,XFT253,07:57,"Slough, York, Colchester"
Manchester,Leeds,259,3.1,KOV858,19:49,Luton
Manchester,Sheffield,330,0.6,JRF544,08:41,
Manchester,Bristol,481,0.9,CES198,02:34,
Manchester,Glasgow,401,0.6,CRZ207,08:23,
Manchester,Edinburgh,67,5.8,GXR545,16:23,"Rotherham, Dundee, Coventry, Belfast, Slough"
Manchester,Cardiff,94,2.0,ABW553,13:54,"Chelmsford, Colchester"
Manchester,Belfast,301,4.2,KPC595,00:33,
Manchester,Newcastle,79,2.1,PTV160,15:11,"Glasgow, Bedford, Liverpool, Leeds"
Manchester,Southampton,431,0.9,BGX910,23:13,"Leeds, London"
Manchester,Portsmouth,94,5.9,JCX148,22:58,"Stoke-on-Trent, Nottingham"
Manchester,Nottingham,391,3.6,GIM621,05:24,"Peterborough, Aberdeen, Middlesbrough, Cambridge, Slough"
Manchester,Brighton,333,4.1,SJH859,18:52,Inverness
Manchester,Leicester,419,1.2,UAS234,10:30,"Coventry, Glasgow, Derry, Bedford, Southampton"
Manchester,Oxford,141,4.8,VMK875,01:22,"Colchester, Edinburgh"
Manchester,Cambridge,256,5.4,APH780,17:28,"Peterborough, Birmingham, Bournemouth, Leicester, Luton"
Manchester,York,76,4.0,KFP311,17:07,
Manchester,Aberdeen,240,4.4,VUM813,21:31,"Wolverhampton, Chelmsford"
Manchester,Dundee,480,3.1,ZTF776,22:45,
Manchester,Inverness,225,5.1,IIC738,14:35,"Chelmsford, Wolverhampton, Bournemouth"
Manchester,Exeter,95,2.8,MUL308,19:30,"Swansea, Inverness, Dundee, Brighton"
Manchester,Plymouth,320,5.3,SLJ252,23:19,"Plymouth, Oxford, Cambridge, Huddersfield"
Manchester,Swansea,395,6.0,VZO163,13:16,Wolverhampton
Manchester,Newport,448,4.1,UZY680,01:39,"York, Rotherham, Huddersfield, Belfast"
Manchester,Coventry,316,4.7,OKT992,04:12,
Manchester,Stoke-on-Trent,364,2.7,KKP867,05:28,"Inverness, Peterborough, Belfast, Brighton"
Manchester,Wolverhampton,484,5.7,MHV134,06:38,"Rotherham, Brighton, Basildon, Liverpool"
Manchester,Derby,460,2.5,BZW604,10:51,"Chelmsford, Portsmouth, Bedford"
Manchester,Norwich,341,1.3,IEF152,11:53,Peterborough
Manchester,Blackpool,449,4.2,ROI451,21:14,"Southampton, Belfast, Exeter, Chelmsford"
Manchester,Middlesbrough,397,1.7,HHK514,02:59,
Manchester,Bournemouth,323,3.3,JDD525,15:59,"Swansea, Luton, Norwich, Brighton, Middlesbrough"
Manchester,Luton,87,0.5,QZT379,12:55,Exeter
Manchester,Reading,163,2.0,TMK782,09:05,"York, Newcastle, Leicester, Inverness, Newport"
Manchester,Warrington,215,4.5,DBD700,07:44,"Liverpool, Plymouth, Newport"
Manchester,Peterborough,61,5.7,IJC722,20:42,Blackpool
Manchester,Huddersfield,481,5.3,JDA701,16:51,"Stoke-on-Trent, Swansea, Peterborough, Sheffield, Bristol"
Manchester,Slough,476,1.5,ICM218,09:16,"Inverness, Newport, Middlesbrough, Colchester, Slough"
Manchester,Basildon,65,4.9,DYR834,02:35,"Glasgow, Slough, Wolverhampton, Coventry"
Manchester,Chelmsford,115,3.1,IDD455,05:32,"Sheffield, Bournemouth, Colchester"
Manchester,Colchester,310,4.1,BUA789,19:50,Reading
Manchester,Derry,245,4.4,TLV742,14:35,"Basildon, Warrington"
Manchester,Woking,119,2.7,GMO913,02:20,"Birmingham, Newcastle, Belfast, Swansea, Norwich"
Manchester,Rotherham,371,4.6,WVO764,10:55,"London, Leeds"
Manchester,Bedford,81,3.0,ALZ110,14:29,"Newcastle, Huddersfield, Woking"
Birmingham,London,73,3.0,DYY282,23:25,"Glasgow, Norwich, Inverness, Plymouth, Belfast"
Birmingham,Manchester,198,4.9,UXG155,06:09,
Birmingham,Liverpool,338,1.4,BJE522,17:12,"Wolverhampton, York, Rotherham, Derby"
Birmingham,Leeds,97,3.6,AKZ135,20:42,"Nottingham, Cambridge, Derry, Wolverhampton, Newport"
Birmingham,Sheffield,115,2.5,AGS612,23:17,"Liverpool, Aberdeen"
Birmingham,Bristol,94,4.0,MKD311,22:21,"Norwich, Sheffield"
Birmingham,Glasgow,177,2.5,LRI355,11:30,"York, Cambridge"
Birmingham,Edinburgh,55,5.7,FVT520,12:46,
Birmingham,Cardiff,284,4.2,KDQ918,18:55,"Glasgow, Leeds"
Birmingham,Belfast,135,1.3,KFT355,04:07,
